categories,title,method_name,authors,venue,year,publication_type,paper_url,doi,code_url,code_license
structure-to-spectrum,Rapid Prediction of Electron–Ionization Mass Spectrometry Using Neural Networks,NEIMS,Jennifer N. Wei; David Belanger; Ryan P. Adams; D. Sculley,ACS Central Science,2019,journal,https://pubs.acs.org/doi/10.1021/acscentsci.9b00085,10.1021/acscentsci.9b00085,https://github.com/brain-research/deep-molecular-massspec,Apache-2.0
structure-to-spectrum,Deep Learning Prediction of Electrospray Ionization Tandem Mass Spectra of Chemically Derived Molecules,DeepCDM,Bin Chen; Hailiang Li; Rongfu Huang; Yanan Tang; Feng Li,Nature Communications,2024,journal,https://www.nature.com/articles/s41467-024-52805-5,10.1038/s41467-024-52805-5,,
structure-to-spectrum,CFM-ID 4.0: More Accurate ESI-MS/MS Spectral Prediction and Compound Identification,CFM-ID 4.0,Fei Wang; Jaanus Liigand; Siyang Tian; David Arndt; Russell Greiner; David S. Wishart,Analytical Chemistry,2021,journal,https://doi.org/10.1021/acs.analchem.1c01465,10.1021/acs.analchem.1c01465,https://bitbucket.org/wishartlab/cfm-id-code/,NOASSERTION
structure-to-spectrum,Prefix-Tree Decoding for Predicting Mass Spectra from Molecules,SCARF,Samuel Goldman; John Bradshaw; Jiayi Xin; Connor W. Coley,Advances in Neural Information Processing Systems,2023,conference,https://arxiv.org/abs/2303.06470,10.48550/arXiv.2303.06470,https://github.com/coleygroup/ms-pred,MIT
structure-to-spectrum,3DMolMS: Prediction of Tandem Mass Spectra from 3D Molecular Conformations,3DMolMS,Yuhui Hong; Sujun Li; Christopher J. Welch; Shane Tichy; Yuzhen Ye; Haixu Tang,Bioinformatics,2023,journal,https://doi.org/10.1093/bioinformatics/btad354,10.1093/bioinformatics/btad354,https://github.com/JosieHong/3DMolMS,NOASSERTION
structure-to-spectrum,Efficiently Predicting High Resolution Mass Spectra with Graph Neural Networks,GrAFF-MS,Michael Murphy; Stefanie Jegelka; Ernest Fraenkel; Tobias Kind; David Healey; Thomas Butler,International Conference on Machine Learning,2023,conference,https://arxiv.org/abs/2301.11419,10.48550/arXiv.2301.11419,https://github.com/murphy17/graff-ms,NOASSERTION
structure-to-spectrum,Generating Molecular Fragmentation Graphs with Autoregressive Neural Networks,ICEBERG,Samuel Goldman; Janet Li; Connor W. Coley,Analytical Chemistry,2024,journal,https://doi.org/10.1021/acs.analchem.3c04654,10.1021/acs.analchem.3c04654,https://github.com/coleygroup/ms-pred,MIT
structure-to-spectrum,FIORA: Local Neighborhood-Based Prediction of Compound Mass Spectra from Single Fragmentation Events,FIORA,Yannek Nowatzky; Francesco Friedrich Russo; Jan Lisec; Alexander Kister; Knut Reinert; Thilo Muth; Philipp Benner,Nature Communications,2025,journal,https://www.nature.com/articles/s41467-025-57422-4,10.1038/s41467-025-57422-4,https://github.com/BAMeScience/fiora,MIT
structure-to-spectrum,QC-GN2oMS2: A Graph Neural Net for High Resolution Mass Spectra Prediction,QC-GN2oMS2,Richard Overstreet; Ethan King; Grady Clopton; Julia Nguyen; Danielle Ciesielski,Journal of Chemical Information and Modeling,2024,journal,https://doi.org/10.1021/acs.jcim.4c00446,10.1021/acs.jcim.4c00446,https://github.com/PNNL-m-q/qcgnoms,BSD-2-Clause
structure-to-spectrum,Tandem Mass Spectrum Prediction for Small Molecules Using Graph Transformers,MassFormer,Adamo Young; Hannes Röst; Bo Wang,Nature Machine Intelligence,2024,journal,https://doi.org/10.1038/s42256-024-00816-8,10.1038/s42256-024-00816-8,https://github.com/Roestlab/massformer,BSD-2-Clause
structure-to-spectrum,FraGNNet: A Deep Probabilistic Model for Tandem Mass Spectrum Prediction,FraGNNet,Adamo Young; Fei Wang; David S. Wishart; Bo Wang; Hannes Röst; Russ Greiner,Transactions on Machine Learning Research,2025,journal,https://openreview.net/forum?id=UsqeHx9Mbx,10.48550/arXiv.2404.02360,https://github.com/FraGNNet/fragnnet,NOASSERTION
datasets-benchmarks,An Evaluation Methodology for Machine Learning-Based Tandem Mass Spectra Similarity Prediction,,Michael Strobel; Alberto Gil-de-la-Fuente; Mohammad Reza Zare Shahneh; Yasin El Abiead; Roman Bushuiev; Anton Bushuiev; Tomáš Pluskal; Mingxun Wang,BMC Bioinformatics,2025,journal,https://doi.org/10.1186/s12859-025-06194-1,10.1186/s12859-025-06194-1,,
structure-to-spectrum,⭐Neural Graph Matching Improves Retrieval Augmented Generation in Molecular Machine Learning,MARASON,Runzhong Wang; Rui-Xi Wang; Mrunali Manjrekar; Connor W. Coley,International Conference on Machine Learning,2025,conference,https://openreview.net/forum?id=nx8QhIlZh8,10.48550/arXiv.2502.17874,https://github.com/coleygroup/ms-pred,MIT
